,price_tnd,Area,room,bathroom,state,latt,long,distance_to_capital,garage,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
1,3250000.0,1000.0,16.0,14.0,1.0,35.898175,10.58025,108.792931586895,1,1,1,0,0,1,1,1,1,1
2,2000000.0,932.0,24.0,10.0,1.0,35.8272913012201,10.6339,118.317746751798,0,0,0,0,0,0,1,1,1,1
4,2000000.0,932.0,24.0,10.0,1.0,35.8273,10.6339,118.316885677645,0,0,0,0,0,0,1,1,1,1
5,1000000.0,1000.0,16.0,9.0,2.0,35.81433,10.63392,119.603210703078,1,0,0,0,0,0,0,0,0,0
8,3200000.0,1899.0,5.0,7.0,1.0,35.8569,10.5972,113.681036216882,0,0,0,0,1,0,0,1,1,1
10,2000000.0,462.0,12.0,13.0,2.0,36.8941992,10.2762232,14.249053168265,0,0,1,0,0,0,1,1,1,1
11,1200000.0,510.0,14.0,4.0,1.0,36.57724,10.34246,30.8152660477654,1,0,0,1,0,0,0,0,1,0
12,990000.0,500.0,11.0,5.0,1.0,36.876389,10.325278,17.7221901283016,1,0,0,0,0,0,0,0,0,0
16,950000.0,538.0,16.0,5.0,1.0,36.81881,10.16596,2.19113226059161,0,0,0,0,0,0,0,0,0,0
18,650000.0,400.0,9.0,4.0,2.0,36.9575109148325,10.2257441043854,17.2428208849554,1,0,0,0,0,0,0,1,1,1
19,110000.0,220.0,9.0,4.0,1.0,33.8039664,11.0400653,341.757988160383,0,0,0,0,1,0,1,1,0,1
20,2200000.0,1000.0,6.0,6.0,1.0,36.40108,10.61457,65.4597220191691,1,0,0,0,1,0,0,1,1,1
21,1950000.0,800.0,10.0,8.0,2.0,36.8625,10.19556,6.32498837542227,0,0,0,1,1,0,0,1,1,1
22,850000.0,750.0,8.0,4.0,1.0,36.40662,10.5673,61.2642183574195,1,0,1,1,0,0,0,1,0,1
24,2200000.0,600.0,5.0,3.0,2.0,33.759722,11.01251,345.586422511665,1,0,0,0,1,0,0,1,1,0
26,85000.0,331.0,8.0,3.0,2.0,36.68902,10.29964,18.3799491860473,0,0,0,0,0,0,0,0,1,0
28,4500000.0,1660.0,6.0,4.0,1.0,36.40108,10.61457,65.4597220191691,1,0,0,0,1,0,0,0,1,1
29,1300000.0,720.0,9.0,6.0,1.0,36.6938694,10.2622167,15.2468224381805,1,0,0,0,0,0,0,0,1,1
30,880000.0,640.0,7.0,3.0,1.0,35.832439,10.622471,117.273190424209,0,0,0,0,0,0,0,0,1,1
31,1400000.0,630.0,8.0,5.0,0.0,36.845235,10.164723,4.6317218774898,1,0,0,0,1,0,0,0,1,1
33,800000.0,460.0,4.0,4.0,2.0,36.40108,10.61457,65.4597220191691,1,0,1,1,0,0,0,1,1,1
34,1500000.0,1500.0,10.0,4.0,2.0,36.68902,10.29964,18.3799491860473,1,0,0,0,1,1,0,0,0,0
36,900000.0,700.0,10.0,4.0,1.0,36.8562350087038,10.2621495286255,10.4901199641479,1,0,0,0,0,0,0,0,0,0
37,300000.0,500.0,11.0,3.0,1.0,37.1578,9.7674,60.0027648634142,0,0,0,0,0,0,0,0,0,0
38,1400000.0,420.0,12.0,12.0,2.0,35.5038453869607,11.0697102533341,173.267710844941,0,0,0,0,0,0,1,0,1,1
39,755000.0,350.0,6.0,5.0,1.0,33.8039664,11.0400653,341.757988160383,1,0,0,0,0,0,1,1,0,1
40,520000.0,300.0,6.0,4.0,1.0,36.6938694,10.2622167,15.2468224381805,1,0,0,0,0,0,0,1,1,0
41,6200000.0,2000.0,10.0,5.0,1.0,36.845235,10.164723,4.6317218774898,1,0,0,1,0,0,0,0,0,0
42,2300000.0,1900.0,8.0,4.0,1.0,36.883333,10.25,11.3450822580238,1,1,0,0,1,0,0,1,1,1
43,1850000.0,1187.0,6.0,4.0,0.0,36.81881,10.16596,2.19113226059161,1,1,1,1,0,0,0,1,1,1
44,2200000.0,1000.0,6.0,5.0,1.0,36.40108,10.61457,65.4597220191691,1,0,1,0,1,0,0,1,1,1
45,800000.0,980.0,13.0,5.0,1.0,33.8869,9.5375,327.765254316544,1,0,0,0,0,0,0,0,0,0
46,3800000.0,900.0,12.0,5.0,1.0,36.81881,10.16596,2.19113226059161,0,0,0,0,0,0,0,0,0,1
47,750000.0,760.0,6.0,5.0,2.0,36.40108,10.61457,65.4597220191691,1,0,0,0,1,0,0,0,1,1
48,995000.0,700.0,10.0,3.0,1.0,36.954444,10.191389,16.228614774176,1,0,0,0,0,0,1,1,1,1
49,1350000.0,650.0,10.0,4.0,1.0,36.84942,10.14969,5.88033020086245,1,0,0,0,1,0,0,1,1,0
50,950000.0,650.0,10.0,4.0,1.0,36.77855,10.05538,14.3537727228831,1,0,0,0,0,0,0,1,1,1
51,1370000.0,603.0,9.0,3.0,1.0,36.8625,10.19556,6.32498837542227,1,0,0,0,0,0,0,0,1,0
52,700000.0,600.0,4.0,4.0,2.0,36.40108,10.61457,65.4597220191691,1,0,1,1,0,0,0,0,1,0
53,1400000.0,550.0,5.0,2.0,2.0,36.8482637,10.1410889,6.40986136903085,1,1,0,0,0,0,0,1,1,1
54,1650000.0,515.0,7.0,5.0,1.0,36.8625,10.19556,6.32498837542227,1,0,0,0,1,0,0,0,1,1
56,650000.0,400.0,8.0,4.0,2.0,36.9577961883957,10.2252921219482,17.2585084728758,1,0,1,0,0,0,0,1,1,1
57,1500000.0,385.0,7.0,7.0,2.0,36.7727084440515,10.2793896816403,11.4957696233616,1,0,0,0,0,0,0,1,1,0
58,950000.0,371.0,8.0,5.0,2.0,35.87,10.57,111.167790931873,1,0,0,0,1,0,1,1,1,1
59,900000.0,300.0,5.0,3.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,0,0,0,0,0,0,0
60,260000.0,131.0,10.0,3.0,1.0,37.1303,9.7506777,59.6022901500191,0,0,0,0,0,0,0,1,0,0
61,485000.0,120.0,9.0,5.0,1.0,36.876389,10.325278,17.7221901283016,1,0,0,1,0,0,0,1,1,1
62,4000000.0,9268.0,7.0,3.0,1.0,36.8625,10.19556,6.32498837542227,1,0,0,0,1,0,0,1,1,1
63,12000000.0,6800.0,10.0,4.0,1.0,36.88833,10.27417,13.6515294537323,1,0,0,0,1,0,1,1,1,1
66,14000.0,4000.0,12.0,12.0,1.0,36.833333,10.316667,15.3139811663917,0,0,0,0,0,0,0,0,0,0
